HGNC ID	Approved name	Ensembl ID(supplied by Ensembl)
HGNC:5	alpha-1-B glycoprotein	ENSG00000121410
HGNC:37133	A1BG antisense RNA 1	ENSG00000268895
HGNC:24086	APOBEC1 complementation factor	ENSG00000148584
HGNC:6	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	
HGNC:7	alpha-2-macroglobulin	ENSG00000175899
HGNC:27057	A2M antisense RNA 1	ENSG00000245105
HGNC:23336	alpha-2-macroglobulin like 1	ENSG00000166535
HGNC:41022	A2ML1 antisense RNA 1	ENSG00000256661
HGNC:41523	A2ML1 antisense RNA 2	ENSG00000256904
HGNC:8	alpha-2-macroglobulin pseudogene 1	ENSG00000256069
HGNC:9	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	
HGNC:10	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	
HGNC:30005	alpha 1,3-galactosyltransferase 2	ENSG00000184389
HGNC:18149	alpha 1,4-galactosyltransferase (P blood group)	ENSG00000128274
HGNC:17968	alpha-1,4-N-acetylglucosaminyltransferase	ENSG00000118017
HGNC:1	adenovirus-12 chromosome modification site 1C	
HGNC:2	adenovirus-12 chromosome modification site 1A	
HGNC:3	adenovirus-12 chromosome modification site 1B	
HGNC:4	adenovirus-12 chromosome modification site 17	
HGNC:11	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	
HGNC:13666	aladin WD repeat nucleoporin	ENSG00000094914
HGNC:12	amino acid transport, beta	
HGNC:13	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	
HGNC:14	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	
HGNC:21298	acetoacetyl-CoA synthetase	ENSG00000081760
HGNC:18226	acetoacetyl-CoA synthetase pseudogene 1	ENSG00000250420
HGNC:13792	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	
HGNC:17	arylacetamide deacetylase	ENSG00000114771
HGNC:24427	arylacetamide deacetylase like 2	ENSG00000197953
HGNC:50301	AADACL2 antisense RNA 1	ENSG00000242908
HGNC:32037	arylacetamide deacetylase like 3	ENSG00000188984
HGNC:32038	arylacetamide deacetylase like 4	ENSG00000204518
HGNC:50305	arylacetamide deacetylase pseudogene 1	ENSG00000240602
HGNC:17929	aminoadipate aminotransferase	ENSG00000109576
HGNC:25662	alpha and gamma adaptin binding protein	ENSG00000103591
HGNC:19679	AP2 associated kinase 1	ENSG00000115977
HGNC:30205	adipogenesis associated Mth938 domain containing	ENSG00000087884
HGNC:18	angio associated migratory cell protein	ENSG00000127837
HGNC:19	aralkylamine N-acetyltransferase	ENSG00000129673
HGNC:15886	AAR2 splicing factor	ENSG00000131043
HGNC:33842	alanine and arginine rich domain containing protein	ENSG00000205002
HGNC:20	alanyl-tRNA synthetase 1	ENSG00000090861
HGNC:49894	alanyl-tRNA synthetase 1 pseudogene 1	ENSG00000249038
HGNC:21022	alanyl-tRNA synthetase 2, mitochondrial	ENSG00000124608
HGNC:28417	alanyl-tRNA synthetase domain containing 1	ENSG00000266967
HGNC:54994	AARSD1 pseudogene 1	ENSG00000234969
HGNC:23993	aminoadipate-semialdehyde dehydrogenase	ENSG00000157426
HGNC:14235	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSG00000149313
HGNC:17366	aminoadipate-semialdehyde synthase	ENSG00000008311
HGNC:51526	apoptosis associated transcript in bladder cancer	ENSG00000215458
HGNC:19235	apoptosis antagonizing transcription factor	ENSG00000275700
HGNC:21	apoptosis associated tyrosine kinase	ENSG00000181409
HGNC:22	adeno-associated virus integration site 1	
HGNC:49667	apoptotic BCL2L1-antisense long non-coding RNA	ENSG00000281376
HGNC:23	4-aminobutyrate aminotransferase	ENSG00000183044
HGNC:24	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	
HGNC:25	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	
HGNC:26	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	
HGNC:28	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	
HGNC:27	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	
HGNC:29	ATP binding cassette subfamily A member 1	ENSG00000165029
HGNC:32	ATP binding cassette subfamily A member 2	ENSG00000107331
HGNC:33	ATP binding cassette subfamily A member 3	ENSG00000167972
HGNC:34	ATP binding cassette subfamily A member 4	ENSG00000198691
HGNC:35	ATP binding cassette subfamily A member 5	ENSG00000154265
HGNC:36	ATP binding cassette subfamily A member 6	ENSG00000154262
HGNC:37	ATP binding cassette subfamily A member 7	ENSG00000064687
HGNC:38	ATP binding cassette subfamily A member 8	ENSG00000141338
HGNC:39	ATP binding cassette subfamily A member 9	ENSG00000154258
HGNC:39983	ABCA9 antisense RNA 1	ENSG00000231749
HGNC:30	ATP binding cassette subfamily A member 10	ENSG00000154263
HGNC:31	ATP binding cassette subfamily A member 11, pseudogene	ENSG00000251595
HGNC:14637	ATP binding cassette subfamily A member 12	ENSG00000144452
HGNC:14638	ATP binding cassette subfamily A member 13	ENSG00000179869
HGNC:32972	ATP binding cassette subfamily A member 17, pseudogene	ENSG00000238098
HGNC:40	ATP binding cassette subfamily B member 1	ENSG00000085563
HGNC:11563	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	
HGNC:11564	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	
HGNC:45	ATP binding cassette subfamily B member 4	ENSG00000005471
HGNC:46	ATP binding cassette subfamily B member 5	ENSG00000004846
HGNC:47	ATP binding cassette subfamily B member 6 (Langereis blood group)	ENSG00000115657
HGNC:48	ATP binding cassette subfamily B member 7	ENSG00000131269
HGNC:49	ATP binding cassette subfamily B member 8	ENSG00000197150
HGNC:50	ATP binding cassette subfamily B member 9	ENSG00000150967
HGNC:41	ATP binding cassette subfamily B member 10	ENSG00000135776
HGNC:14114	ABCB10 pseudogene 1	ENSG00000274099
HGNC:31128	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	
HGNC:31129	ABCB10 pseudogene 3	ENSG00000261524
HGNC:31130	ABCB10 pseudogene 4	ENSG00000260053
HGNC:42	ATP binding cassette subfamily B member 11	ENSG00000073734
HGNC:51	ATP binding cassette subfamily C member 1	ENSG00000103222
HGNC:53	ATP binding cassette subfamily C member 2	ENSG00000023839
HGNC:54	ATP binding cassette subfamily C member 3	ENSG00000108846
HGNC:55	ATP binding cassette subfamily C member 4	ENSG00000125257
HGNC:56	ATP binding cassette subfamily C member 5	ENSG00000114770
HGNC:40055	ABCC5 antisense RNA 1	ENSG00000223882
HGNC:57	ATP binding cassette subfamily C member 6	ENSG00000091262
HGNC:33352	ATP binding cassette subfamily C member 6 pseudogene 1	ENSG00000256340
HGNC:33353	ATP binding cassette subfamily C member 6 pseudogene 2	ENSG00000255277
HGNC:58	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)	
HGNC:59	ATP binding cassette subfamily C member 8	ENSG00000006071
HGNC:60	ATP binding cassette subfamily C member 9	ENSG00000069431
HGNC:52	ATP binding cassette subfamily C member 10	ENSG00000124574
HGNC:14639	ATP binding cassette subfamily C member 11	ENSG00000121270
HGNC:14640	ATP binding cassette subfamily C member 12	ENSG00000140798
HGNC:16022	ATP binding cassette subfamily C member 13 (pseudogene)	ENSG00000243064
HGNC:61	ATP binding cassette subfamily D member 1	ENSG00000101986
HGNC:62	ATP binding cassette subfamily D member 1 pseudogene 1	
HGNC:63	ATP binding cassette subfamily D member 1 pseudogene 2	ENSG00000215151
HGNC:64	ATP binding cassette subfamily D member 1 pseudogene 3	ENSG00000261233
HGNC:65	ATP binding cassette subfamily D member 1 pseudogene 4	ENSG00000225293
HGNC:42662	ATP binding cassette subfamily D member 1 pseudogene 5	ENSG00000214330
HGNC:66	ATP binding cassette subfamily D member 2	ENSG00000173208
HGNC:67	ATP binding cassette subfamily D member 3	ENSG00000117528
HGNC:68	ATP binding cassette subfamily D member 4	ENSG00000119688
HGNC:69	ATP binding cassette subfamily E member 1	ENSG00000164163
HGNC:70	ATP binding cassette subfamily F member 1	ENSG00000204574
HGNC:53628	ABCF1 divergent transcript	
HGNC:71	ATP binding cassette subfamily F member 2	ENSG00000033050
HGNC:54751	ABCF2-H2BE1 readthrough	ENSG00000285292
HGNC:48841	ATP binding cassette subfamily F member 2 pseudogene 1	ENSG00000242159
HGNC:48842	ATP binding cassette subfamily F member 2 pseudogene 2	ENSG00000228769
HGNC:72	ATP binding cassette subfamily F member 3	ENSG00000161204
HGNC:73	ATP binding cassette subfamily G member 1	ENSG00000160179
HGNC:74	ATP binding cassette subfamily G member 2 (Junior blood group)	ENSG00000118777
HGNC:13884	ATP binding cassette subfamily G member 4	ENSG00000172350
HGNC:13886	ATP binding cassette subfamily G member 5	ENSG00000138075
HGNC:13887	ATP binding cassette subfamily G member 8	ENSG00000143921
HGNC:75	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	
HGNC:17553	abhydrolase domain containing 1	ENSG00000143994
HGNC:18717	abhydrolase domain containing 2, acylglycerol lipase	ENSG00000140526
HGNC:18718	abhydrolase domain containing 3, phospholipase	ENSG00000158201
HGNC:20154	abhydrolase domain containing 4, N-acyl phospholipase B	ENSG00000100439
HGNC:21396	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ENSG00000011198
HGNC:21398	abhydrolase domain containing 6, acylglycerol lipase	ENSG00000163686
HGNC:23759	abhydrolase domain containing 8	ENSG00000127220
HGNC:25656	abhydrolase domain containing 10, depalmitoylase	ENSG00000144827
HGNC:16407	abhydrolase domain containing 11	ENSG00000106077
HGNC:18289	ABHD11 antisense RNA 1 (tail to tail)	ENSG00000225969
HGNC:40012	ABHD11 antisense RNA 2	
HGNC:15868	abhydrolase domain containing 12, lysophospholipase	ENSG00000100997
HGNC:19837	abhydrolase domain containing 12B	ENSG00000131969
HGNC:20293	abhydrolase domain containing 13	ENSG00000139826
HGNC:24538	abhydrolase domain containing 14A	ENSG00000248487
HGNC:38856	ABHD14A-ACY1 readthrough	ENSG00000114786
HGNC:28235	abhydrolase domain containing 14B	ENSG00000114779
HGNC:26971	abhydrolase domain containing 15	ENSG00000168792
HGNC:49685	ABHD15 antisense RNA 1	ENSG00000264031
HGNC:13921	abhydrolase domain containing 16A, phospholipase	ENSG00000204427
HGNC:16128	abhydrolase domain containing 16B	ENSG00000183260
HGNC:28756	abhydrolase domain containing 17A, depalmitoylase	ENSG00000129968
HGNC:28394	ABHD17A pseudogene 1	ENSG00000198658
HGNC:33538	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	
HGNC:34041	ABHD17A pseudogene 3	ENSG00000250536
HGNC:34042	ABHD17A pseudogene 4	ENSG00000229107
HGNC:34043	ABHD17A pseudogene 5	ENSG00000263366
HGNC:34044	ABHD17A pseudogene 6	ENSG00000226981
HGNC:38508	ABHD17A pseudogene 7	ENSG00000260864
HGNC:38509	ABHD17A pseudogene 8	ENSG00000260540
HGNC:38510	ABHD17A pseudogene 9	ENSG00000261536
HGNC:24278	abhydrolase domain containing 17B, depalmitoylase	ENSG00000107362
HGNC:26925	abhydrolase domain containing 17C, depalmitoylase	ENSG00000136379
HGNC:26111	abhydrolase domain containing 18	ENSG00000164074
HGNC:11320	abl interactor 1	ENSG00000136754
HGNC:20035	abl interactor 1 pseudogene 1	ENSG00000271484
HGNC:24011	abl interactor 2	ENSG00000138443
HGNC:29859	ABI family member 3	ENSG00000108798
HGNC:17265	ABI family member 3 binding protein	ENSG00000154175
HGNC:1364	actin binding transcription modulator	ENSG00000119328
HGNC:39851	ABITRAM pseudogene 1	ENSG00000251106
HGNC:76	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007
HGNC:77	ABL proto-oncogene 2, non-receptor tyrosine kinase	ENSG00000143322
HGNC:78	actin binding LIM protein 1	ENSG00000099204
HGNC:19195	actin binding LIM protein family member 2	ENSG00000163995
HGNC:29132	actin binding LIM protein family member 3	ENSG00000173210
HGNC:79	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ENSG00000175164
HGNC:81	ABR activator of RhoGEF and GTPase	ENSG00000159842
HGNC:30655	actin binding Rho activating protein	ENSG00000174429
HGNC:21230	ABRA C-terminal like	ENSG00000146386
HGNC:25829	abraxas 1, BRCA1 A complex subunit	ENSG00000163322
HGNC:28975	abraxas 2, BRISC complex subunit	ENSG00000165660
HGNC:17369	activator of basal transcription 1	ENSG00000146109
HGNC:39557	activator of basal transcription 1 pseudogene 1	ENSG00000250496
HGNC:18275	ankyrin repeat and BTB domain containing 1	ENSG00000114626
HGNC:23842	ankyrin repeat and BTB domain containing 2	ENSG00000166016
HGNC:82	acetyl-CoA acyltransferase 1	ENSG00000060971
HGNC:83	acetyl-CoA acyltransferase 2	ENSG00000167315
HGNC:84	acetyl-CoA carboxylase alpha	ENSG00000278540
HGNC:85	acetyl-CoA carboxylase beta	ENSG00000076555
HGNC:86	acyl-Coenzyme A dehydrogenase, multiple (chr X)	
HGNC:87	acyl-CoA dehydrogenase family member 8	ENSG00000151498
HGNC:21497	acyl-CoA dehydrogenase family member 9	ENSG00000177646
HGNC:21597	acyl-CoA dehydrogenase family member 10	ENSG00000111271
HGNC:30211	acyl-CoA dehydrogenase family member 11	ENSG00000240303
HGNC:88	acyl-CoA dehydrogenase long chain	ENSG00000115361
HGNC:89	acyl-CoA dehydrogenase medium chain	ENSG00000117054
HGNC:90	acyl-CoA dehydrogenase short chain	ENSG00000122971
HGNC:91	acyl-CoA dehydrogenase short/branched chain	ENSG00000196177
HGNC:92	acyl-CoA dehydrogenase very long chain	ENSG00000072778
HGNC:319	aggrecan	ENSG00000157766
HGNC:16467	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ENSG00000072818
HGNC:16469	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ENSG00000114331
HGNC:41426	ACAP2 intronic transcript 1	ENSG00000229325
HGNC:16754	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ENSG00000131584
HGNC:93	acetyl-CoA acetyltransferase 1	ENSG00000075239
HGNC:94	acetyl-CoA acetyltransferase 2	ENSG00000120437
HGNC:15453	acyl-CoA binding domain containing 3	ENSG00000182827
HGNC:40701	ACBD3 antisense RNA 1	ENSG00000234478
HGNC:23337	acyl-CoA binding domain containing 4	ENSG00000181513
HGNC:23338	acyl-CoA binding domain containing 5	ENSG00000107897
HGNC:23339	acyl-CoA binding domain containing 6	ENSG00000230124
HGNC:17715	acyl-CoA binding domain containing 7	ENSG00000176244
HGNC:96	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)	
HGNC:97	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)	
HGNC:98	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)	
HGNC:14594	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)	
HGNC:23989	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ENSG00000110455
HGNC:34391	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ENSG00000205126
HGNC:25070	ACD shelterin complex subunit and telomerase recruitment factor	ENSG00000102977
HGNC:2707	angiotensin I converting enzyme	ENSG00000159640
HGNC:13557	angiotensin converting enzyme 2	ENSG00000130234
HGNC:44365	angiotensin I converting enzyme 3, pseudogene	ENSG00000224353
HGNC:18356	alkaline ceramidase 1	ENSG00000167769
HGNC:23675	alkaline ceramidase 2	ENSG00000177076
HGNC:54674	ACER2 pseudogene 1	ENSG00000180105
HGNC:16066	alkaline ceramidase 3	ENSG00000078124
HGNC:106	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)	
HGNC:107	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)	
HGNC:108	acetylcholinesterase (Cartwright blood group)	ENSG00000087085
HGNC:109	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	
HGNC:110	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)	
HGNC:111	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	
HGNC:112	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)	
